"Test Type","Compression"
"Method Name:","C:\INSTRON\USER\TEMPLATE\Andyscomp.mtB"
"Name:","Transnet Compression Tests"
"Operator ID:","AndyS"
"Company:","IRL"
"Lab name:","Rm 3.09"
"Test date:","25/08/08"
"Temperature:","20.5"
"Humidity:","57.5"
"Note 1:","Plastic Telegraph Pole Breast and Heel Plate Tests"
"Note 2:",""
"Note 3:",""
"Geometry:","Rectangular"
"Specimen",1
"Specimen name:","A1"
"Width:",342.000000,"mm"
"Thickness:",446.000000,"mm"
"Anvil height:",90.000000,"mm"
"Diameter:",50.000000,"mm"
"Inner diameter:",0.500000,"mm"
"Outer diameter:",1.000000,"mm"
"Wall thickness:",0.500000,"mm"
"Area:",152532.000000,"mm*mm"
"Linear density:",1.000000,"den"
"Sled weight:",9.806650,"N"
"Loading span:",0.000000,"mm"
"Support span:",1.000000,"mm"
"Span ratio:","2"
"Fixture type:","3-point"
"Comment:","Transnet Small Rectangular Sample"
"Extensometer",-10.000000,"**mm"
"Included"
"Time sec","Extension mm","Strain 1 %","Load N","Comp. stress MPa","Cycle Count ","Total Cycle Count ","Comp. extension mm","Comp. strain %","True strain %","Comp. load N","True stress Pa"
37,-112.3626,-0.0137249,-315.7547,0.002070088,0,0,0.00137249,0.0137249,0.01372584,315.7547,2069.804
38,-112.3793,-0.01342185,-316.2364,0.002073247,0,0,0.001342185,0.01342185,0.01342275,316.2365,2072.968
39,-112.396,-0.01364514,-317.3331,0.002080436,0,0,0.001364514,0.01364514,0.01364607,317.3331,2080.153
40,-112.4127,-0.01337398,-319.7065,0.002095996,0,0,0.001337398,0.01337398,0.01337487,319.7065,2095.716
41,-112.4293,-0.01359731,-322.1131,0.002111774,0,0,0.001359731,0.01359731,0.01359823,322.1131,2111.487
42,-112.446,-0.01334209,-324.8351,0.00212962,0,0,0.001334209,0.01334209,0.01334298,324.8351,2129.335
43,-112.4626,-0.01377277,-328.8547,0.002155972,0,0,0.001377277,0.01377277,0.01377372,328.8547,2155.675
44,-112.4793,-0.01342185,-335.1525,0.00219726,0,0,0.001342185,0.01342185,0.01342275,335.1525,2196.965
45,-112.4959,-0.01386847,-343.942,0.002254884,0,0,0.001386847,0.01386847,0.01386943,343.942,2254.572
46,-112.5126,-0.01321446,-354.5377,0.002324349,0,0,0.001321446,0.01321446,0.01321533,354.5377,2324.042
47,-112.5293,-0.01340587,-365.9028,0.002398859,0,0,0.001340587,0.01340587,0.01340677,365.9028,2398.537
48,-112.546,-0.01369301,-381.0771,0.002498342,0,0,0.001369301,0.01369301,0.01369395,381.0771,2498
49,-112.5627,-0.01369301,-395.9408,0.002595788,0,0,0.001369301,0.01369301,0.01369395,395.9408,2595.433
50,-112.5793,-0.01367707,-410.5567,0.00269161,0,0,0.001367707,0.01367707,0.013678,410.5566,2691.242
51,-112.596,-0.01342185,-425.7668,0.002791328,0,0,0.001342185,0.01342185,0.01342275,425.7668,2790.953
52,-112.6126,-0.01329422,-444.1687,0.002911971,0,0,0.001329422,0.01329422,0.0132951,444.1687,2911.584
53,-112.6293,-0.01326233,-463.6587,0.003039747,0,0,0.001326233,0.01326233,0.01326321,463.6587,3039.344
54,-112.6459,-0.0138206,-482.4192,0.003162741,0,0,0.00138206,0.0138206,0.01382156,482.4192,3162.304
55,-112.6627,-0.01374085,-501.8527,0.003290147,0,0,0.001374085,0.01374085,0.01374179,501.8527,3289.695
56,-112.6793,-0.01367707,-523.8342,0.003434258,0,0,0.001367707,0.01367707,0.013678,523.8342,3433.788
57,-112.696,-0.0136292,-544.0896,0.003567052,0,0,0.00136292,0.0136292,0.01363013,544.0897,3566.566
58,-112.7127,-0.01380466,-565.4745,0.003707252,0,0,0.001380466,0.01380466,0.01380561,565.4745,3706.74
59,-112.7293,-0.01361325,-588.0042,0.003854956,0,0,0.001361325,0.01361325,0.01361418,588.0042,3854.432
60,-112.7459,-0.01391631,-609.9246,0.003998667,0,0,0.001391631,0.01391631,0.01391727,609.9246,3998.11
61,-112.7626,-0.01359731,-632.5537,0.004147023,0,0,0.001359731,0.01359731,0.01359823,632.5537,4146.459
62,-112.7793,-0.01345374,-655.7777,0.004299279,0,0,0.001345374,0.01345374,0.01345464,655.7777,4298.701
63,-112.796,-0.0138206,-682.1313,0.004472054,0,0,0.00138206,0.0138206,0.01382156,682.1313,4471.436
64,-112.8127,-0.01380466,-708.0134,0.004641737,0,0,0.001380466,0.01380466,0.01380561,708.0134,4641.096
65,-112.8293,-0.01383658,-732.7537,0.004803934,0,0,0.001383658,0.01383658,0.01383754,732.7537,4803.269
66,-112.846,-0.01350161,-758.7055,0.004974074,0,0,0.001350161,0.01350161,0.01350252,758.7054,4973.402
67,-112.8626,-0.0136292,-783.2259,0.00513483,0,0,0.00136292,0.0136292,0.01363013,783.2259,5134.13
68,-112.8793,-0.01370896,-808.5746,0.005301016,0,0,0.001370896,0.01370896,0.0137099,808.5746,5300.29
69,-112.8959,-0.01390036,-835.1713,0.005475385,0,0,0.001390036,0.01390036,0.01390133,835.1713,5474.623
70,-112.9127,-0.01374085,-862.5231,0.005654702,0,0,0.001374085,0.01374085,0.01374179,862.5231,5653.925
71,-112.9293,-0.01418751,-890.3026,0.005836825,0,0,0.001418751,0.01418751,0.01418851,890.3026,5835.997
