"Test Type","Compression"
"Method Name:","C:\INSTRON\USER\TEMPLATE\Andyscomp.mtB"
"Name:","Transnet Compression Tests"
"Operator ID:","AndyS"
"Company:","IRL"
"Lab name:","Rm 3.09"
"Test date:","25/08/08"
"Temperature:","20.5"
"Humidity:","57.5"
"Note 1:","Plastic Telegraph Pole Breast and Heel Plate Tests"
"Note 2:",""
"Note 3:",""
"Geometry:","Rectangular"
"Specimen",1
"Specimen name:","A1Cycle"
"Width:",342.000000,"mm"
"Thickness:",446.000000,"mm"
"Anvil height:",90.000000,"mm"
"Diameter:",50.000000,"mm"
"Inner diameter:",0.500000,"mm"
"Outer diameter:",1.000000,"mm"
"Wall thickness:",0.500000,"mm"
"Area:",152532.000000,"mm*mm"
"Linear density:",1.000000,"den"
"Sled weight:",9.806650,"N"
"Loading span:",0.000000,"mm"
"Support span:",1.000000,"mm"
"Span ratio:","2"
"Fixture type:","3-point"
"Comment:","Transnet Small Rectangular Sample"
"Extensometer",-10.000000,"**mm"
"Included"
"Time sec","Extension mm","Strain 1 %","Load N","Comp. stress MPa","Cycle Count ","Total Cycle Count ","Comp. extension mm","Comp. strain %","True strain %","Comp. load N","True stress Pa"
37,-0.6167198,-0.01689918,-892.9805,0.005854381,0,0,0.001689918,0.01689918,0.01690061,892.9805,5853.392
38,-0.6333599,-0.01685135,-921.8312,0.006043526,0,0,0.001685135,0.01685135,0.01685277,921.8312,6042.508
39,-0.6500399,-0.01667589,-951.0237,0.006234913,0,0,0.001667589,0.01667589,0.01667728,951.0237,6233.873
40,-0.6666399,-0.0170587,-980.1459,0.006425838,0,0,0.00170587,0.0170587,0.01706016,980.1459,6424.741
41,-0.6833199,-0.01680348,-1010.533,0.006625056,0,0,0.001680348,0.01680348,0.01680489,1010.533,6623.943
42,-0.7000799,-0.01662802,-1042.337,0.006833563,0,0,0.001662802,0.01662802,0.0166294,1042.337,6832.427
43,-0.7167199,-0.01658019,-1072.556,0.007031678,0,0,0.001658019,0.01658019,0.01658156,1072.556,7030.512
44,-0.7333598,-0.01659613,-1105.393,0.007246957,0,0,0.001659613,0.01659613,0.01659751,1105.393,7245.754
45,-0.7499999,-0.01664396,-1137.135,0.007455058,0,0,0.001664396,0.01664396,0.01664535,1137.135,7453.817
46,-0.7666799,-0.01688324,-1169.677,0.007668404,0,0,0.001688324,0.01688324,0.01688466,1169.677,7667.109
47,-0.7833199,-0.01680348,-1201.983,0.007880201,0,0,0.001680348,0.01680348,0.01680489,1201.983,7878.877
48,-0.7999999,-0.01701087,-1234.345,0.008092367,0,0,0.001701087,0.01701087,0.01701232,1234.345,8090.991
