"Disp (mm)" "Load (kN)" "d (raw)" "f (raw)"
4.4658 13.6616 4.4658 13.6722
4.4824 13.7213 4.4824 13.7320
4.4990 13.7845 4.4991 13.7951
4.5158 13.8506 4.5158 13.8612
4.5324 13.9206 4.5324 13.9313
4.5492 13.9905 4.5492 14.0011
4.5658 14.0601 4.5658 14.0708
4.5824 14.1292 4.5825 14.1399
4.5991 14.1979 4.5991 14.2085
4.6157 14.2662 4.6158 14.2769
4.6324 14.3340 4.6324 14.3446
4.6491 14.4032 4.6491 14.4139
4.6658 14.4724 4.6658 14.4831
4.6824 14.5434 4.6825 14.5540
4.6991 14.6144 4.6991 14.6251
4.7158 14.6889 4.7158 14.6995
4.7324 14.7659 4.7325 14.7765
4.7491 14.8409 4.7492 14.8516
4.7657 14.7953 4.7658 14.8059
4.7824 14.8332 4.7825 14.8438
4.7991 14.9160 4.7991 14.9266
4.8158 15.0048 4.8159 15.0155
4.8325 15.0866 4.8325 15.0972
4.8492 15.1608 4.8492 15.1715
4.8657 15.2369 4.8657 15.2476
4.8824 15.3170 4.8824 15.3277
4.8990 15.3954 4.8991 15.4060
4.9158 15.4765 4.9158 15.4871
4.9324 15.5556 4.9324 15.5662
4.9492 15.6365 4.9492 15.6471
4.9658 15.7141 4.9658 15.7248
4.9825 15.7875 4.9825 15.7982
4.9991 15.8593 4.9991 15.8699
5.0158 15.9358 5.0158 15.9465
5.0324 16.0171 5.0324 16.0277
5.0491 16.0981 5.0491 16.1087
5.0657 16.1799 5.0658 16.1905
5.0824 16.2655 5.0825 16.2762
5.0991 16.3508 5.0992 16.3614
5.1158 16.4377 5.1158 16.4484
5.1324 16.5238 5.1325 16.5345
5.1491 16.6135 5.1492 16.6241
5.1657 16.7036 5.1658 16.7142
5.1824 16.7942 5.1825 16.8048
5.1991 16.8844 5.1991 16.8951
5.2158 16.9792 5.2158 16.9898
5.2325 17.0718 5.2325 17.0825
5.2491 17.1674 5.2492 17.1780
5.2658 17.2627 5.2658 17.2733
5.2824 17.3567 5.2825 17.3673
5.2991 17.4515 5.2991 17.4622
5.3158 17.5473 5.3158 17.5580
5.3324 17.6424 5.3324 17.6530
5.3491 17.7405 5.3491 17.7511
5.3658 17.8404 5.3658 17.8510
5.3824 17.9384 5.3825 17.9491
5.3991 18.0385 5.3991 18.0492
5.4158 18.1397 5.4158 18.1504
5.4324 18.2394 5.4324 18.2500
5.4491 18.3422 5.4491 18.3529
5.4657 18.4415 5.4658 18.4522
5.4824 18.5437 5.4825 18.5544
5.4991 18.6466 5.4992 18.6572
5.5158 18.7480 5.5158 18.7586
5.5324 18.8524 5.5324 18.8630
5.5491 18.9559 5.5492 18.9665
5.5657 19.0582 5.5658 19.0688
5.5824 19.1648 5.5825 19.1755
5.5991 19.2704 5.5991 19.2810
5.6158 19.3768 5.6158 19.3874
5.6325 19.4777 5.6325 19.4883
5.6492 19.5830 5.6492 19.5936
5.6658 19.6881 5.6658 19.6987
5.6825 19.7966 5.6825 19.8073
5.6991 19.9070 5.6991 19.9177
5.7158 20.0247 5.7158 20.0354
5.7324 20.1420 5.7325 20.1527
5.7491 20.2591 5.7492 20.2698
5.7658 20.3783 5.7658 20.3889
5.7825 20.4969 5.7825 20.5075
5.7991 20.6189 5.7991 20.6296
5.8158 20.7451 5.8158 20.7557
5.8324 20.8700 5.8325 20.8806
5.8491 21.0034 5.8491 21.0141
5.8658 21.1389 5.8658 21.1495
5.8824 21.2787 5.8825 21.2893
5.8991 21.4171 5.8991 21.4277
5.9158 21.5557 5.9158 21.5664
5.9324 21.6927 5.9325 21.7034
5.9491 21.8321 5.9492 21.8427
5.9658 21.9696 5.9658 21.9803
5.9824 22.1087 5.9824 22.1193
5.9991 22.2482 5.9991 22.2588
6.0158 22.3878 6.0158 22.3985
6.0324 22.5294 6.0324 22.5401
6.0491 22.6701 6.0491 22.6807
6.0658 22.8132 6.0658 22.8239
6.0824 22.9573 6.0824 22.9680
6.0991 23.1001 6.0991 23.1107
6.1157 23.2388 6.1158 23.2494
6.1325 23.3822 6.1325 23.3929
6.1491 23.5242 6.1492 23.5348
6.1658 23.6694 6.1658 23.6800
6.1824 23.8174 6.1824 23.8280
6.1991 23.9657 6.1992 23.9764
6.2158 24.1154 6.2158 24.1260
6.2324 24.2665 6.2325 24.2772
6.2491 24.4169 6.2491 24.4276
6.2657 24.5736 6.2658 24.5842
6.2824 24.7280 6.2825 24.7386
6.2991 24.8849 6.2992 24.8955
6.3158 25.0428 6.3158 25.0535
6.3325 25.1979 6.3325 25.2086
6.3491 25.3535 6.3491 25.3642
6.3657 25.5122 6.3658 25.5228
6.3824 25.6700 6.3824 25.6807
6.3991 25.8295 6.3991 25.8402
6.4158 25.9876 6.4158 25.9982
6.4324 26.1432 6.4325 26.1538
6.4491 26.2974 6.4491 26.3081
6.4658 26.4526 6.4658 26.4632
6.4824 26.6085 6.4824 26.6191
6.4991 26.7676 6.4991 26.7783
6.5157 26.9238 6.5158 26.9344
6.5324 27.0775 6.5324 27.0881
6.5491 27.2066 6.5492 27.2173
6.5658 27.3490 6.5658 27.3596
6.5824 27.5033 6.5825 27.5139
6.5992 27.6672 6.5992 27.6779
6.6157 27.8282 6.6158 27.8389
6.6324 27.9908 6.6325 28.0015
6.6490 28.1497 6.6491 28.1603
6.6658 28.3132 6.6658 28.3238
6.6824 28.4744 6.6824 28.4850
6.6991 28.6339 6.6992 28.6445
6.7158 28.7978 6.7158 28.8085
6.7325 28.9661 6.7325 28.9767
6.7486 29.1288 6.7487 29.1395
   
"Disp (mm)" "Load (kN)" "d (raw)" "f (raw)"
0 0.0000 0.9986 0.2624
0.0164 0.0095 1.0150 0.2718
0.0333 0.0276 1.0319 0.2899
0.0500 0.0339 1.0486 0.2962
0.0667 0.0369 1.0653 0.2993
0.0833 0.0395 1.0819 0.3019
0.1000 0.0395 1.0986 0.3019
0.1167 0.0400 1.1152 0.3024
0.1334 0.0414 1.1319 0.3037
0.1500 0.0423 1.1486 0.3047
0.1667 0.0424 1.1652 0.3048
0.1834 0.0431 1.1819 0.3054
0.2001 0.0425 1.1986 0.3048
0.2167 0.0440 1.2152 0.3064
0.2333 0.0452 1.2319 0.3076
0.2500 0.0461 1.2485 0.3085
0.2667 0.0468 1.2652 0.3092
0.2834 0.0506 1.2819 0.3130
0.3000 0.0575 1.2986 0.3199
0.3167 0.0667 1.3153 0.3291
0.3334 0.0823 1.3319 0.3447
0.3500 0.1080 1.3486 0.3703
0.3666 0.1370 1.3652 0.3993
0.3834 0.1673 1.3819 0.4296
0.4000 0.1996 1.3986 0.4620
0.4167 0.2305 1.4153 0.4929
0.4334 0.2614 1.4319 0.5238
0.4500 0.2928 1.4486 0.5551
0.4667 0.3231 1.4653 0.5855
0.4834 0.3547 1.4819 0.6170
0.5000 0.3853 1.4985 0.6477
0.5167 0.4169 1.5153 0.6793
0.5333 0.4478 1.5319 0.7101
0.5501 0.4790 1.5486 0.7413
0.5667 0.5101 1.5652 0.7724
0.5834 0.5410 1.5819 0.8034
0.6000 0.5724 1.5986 0.8347
0.6167 0.6035 1.6152 0.8659
0.6333 0.6393 1.6319 0.9017
0.6500 0.6782 1.6486 0.9406
0.6666 0.7185 1.6652 0.9809
0.6834 0.7620 1.6820 1.0243
0.7000 0.8035 1.6986 1.0658
0.7167 0.8456 1.7153 1.1079
0.7334 0.8887 1.7319 1.1511
0.7500 0.9316 1.7486 1.1939
0.7667 0.9755 1.7652 1.2379
0.7834 1.0184 1.7820 1.2808
0.8000 1.0616 1.7986 1.3240
0.8167 1.1065 1.8153 1.3689
0.8334 1.1501 1.8319 1.4124
0.8501 1.1943 1.8486 1.4567
0.8667 1.2412 1.8653 1.5036
0.8834 1.2901 1.8820 1.5525
0.9000 1.3408 1.8986 1.6032
0.9167 1.3922 1.9152 1.6546
0.9333 1.4431 1.9319 1.7055
0.9501 1.4962 1.9486 1.7586
0.9667 1.5506 1.9653 1.8130
0.9834 1.6045 1.9819 1.8669
1.0000 1.6594 1.9986 1.9218
1.0167 1.7143 2.0153 1.9766
1.0333 1.7693 2.0319 2.0316
1.0500 1.8253 2.0486 2.0877
1.0666 1.8818 2.0652 2.1442
1.0834 1.9403 2.0820 2.2026
1.1000 1.9976 2.0986 2.2600
1.1167 2.0562 2.1153 2.3185
1.1334 2.1141 2.1319 2.3764
1.1501 2.1716 2.1486 2.4339
1.1667 2.2308 2.1652 2.4932
1.1834 2.2911 2.1819 2.5534
1.2000 2.3505 2.1986 2.6129
1.2168 2.4131 2.2153 2.6754
1.2334 2.4731 2.2320 2.7355
1.2500 2.5334 2.2486 2.7957
1.2666 2.5942 2.2652 2.8566
1.2834 2.6549 2.2819 2.9173
1.3000 2.7158 2.2986 2.9782
1.3167 2.7777 2.3152 3.0400
1.3334 2.8391 2.3319 3.1014
1.3500 2.9012 2.3486 3.1636
1.3667 2.9645 2.3653 3.2269
1.3834 3.0268 2.3819 3.2892
1.4000 3.0901 2.3986 3.3524
1.4167 3.1526 2.4153 3.4150
1.4334 3.2154 2.4320 3.4778
1.4500 3.2780 2.4485 3.5404
1.4667 3.3406 2.4652 3.6030
1.4834 3.4034 2.4819 3.6658
1.5001 3.4672 2.4986 3.7296
1.5167 3.5300 2.5153 3.7923
1.5334 3.5931 2.5319 3.8555
1.5500 3.6564 2.5486 3.9187
1.5667 3.7194 2.5652 3.9817
1.5833 3.7841 2.5819 4.0465
1.6000 3.8491 2.5986 4.1114
1.6167 3.9132 2.6152 4.1755
1.6334 3.9776 2.6320 4.2399
1.6501 4.0423 2.6486 4.3047
1.6667 4.1072 2.6653 4.3696
1.6834 4.1737 2.6819 4.4361
1.7000 4.2377 2.6986 4.5001
1.7166 4.3033 2.7152 4.5656
1.7334 4.3686 2.7319 4.6310
1.7500 4.4337 2.7486 4.6960
1.7667 4.4998 2.7653 4.7621
1.7834 4.5665 2.7820 4.8289
1.8000 4.6318 2.7986 4.8942
1.8167 4.6971 2.8152 4.9595
1.8334 4.7618 2.8319 5.0242
1.8500 4.8273 2.8485 5.0897
1.8667 4.8939 2.8653 5.1562
1.8834 4.9594 2.8819 5.2217
1.9001 5.0248 2.8986 5.2871
1.9167 5.0920 2.9153 5.3543
1.9334 5.1579 2.9320 5.4203
1.9500 5.2242 2.9486 5.4866
1.9667 5.2900 2.9652 5.5524
1.9833 5.3554 2.9819 5.6177
2.0000 5.4212 2.9986 5.6836
2.0167 5.4868 3.0152 5.7492
2.0334 5.5537 3.0320 5.8161
2.0500 5.6200 3.0486 5.8824
2.0668 5.6877 3.0653 5.9501
2.0833 5.7531 3.0819 6.0154
2.1000 5.8197 3.0986 6.0821
2.1166 5.8845 3.1152 6.1469
2.1334 5.9514 3.1319 6.2137
2.1500 6.0165 3.1486 6.2789
2.1667 6.0826 3.1653 6.3450
2.1834 6.1498 3.1819 6.4122
2.2001 6.2164 3.1986 6.4788
2.2167 6.2835 3.2152 6.5459
2.2334 6.3510 3.2319 6.6134
2.2500 6.4168 3.2486 6.6792
2.2667 6.4849 3.2652 6.7473
2.2833 6.5510 3.2819 6.8133
2.3000 6.6167 3.2986 6.8791
2.3167 6.6843 3.3153 6.9466
2.3334 6.7501 3.3320 7.0124
2.3500 6.8153 3.3486 7.0777
2.3667 6.8825 3.3652 7.1449
2.3833 6.9486 3.3819 7.2109
2.4000 7.0176 3.3986 7.2799
2.4167 7.0842 3.4152 7.3466
2.4334 7.1513 3.4320 7.4136
2.4500 7.2184 3.4486 7.4807
2.4667 7.2851 3.4653 7.5475
2.4833 7.3526 3.4819 7.6150
2.5000 7.4201 3.4986 7.6825
2.5167 7.4867 3.5153 7.7491
2.5334 7.5535 3.5320 7.8159
2.5500 7.6225 3.5486 7.8848
2.5666 7.6890 3.5652 7.9513
2.5833 7.7563 3.5819 8.0186
2.6000 7.8249 3.5986 8.0873
2.6167 7.8915 3.6152 8.1539
2.6334 7.9600 3.6319 8.2224
2.6500 8.0259 3.6486 8.2883
2.6667 8.0922 3.6652 8.3545
2.6833 8.1594 3.6819 8.4218
2.7001 8.2284 3.6986 8.4907
2.7167 8.2965 3.7153 8.5589
2.7334 8.3655 3.7320 8.6278
2.7500 8.4324 3.7485 8.6948
2.7667 8.5021 3.7652 8.7645
2.7834 8.5695 3.7819 8.8319
2.8000 8.6389 3.7986 8.9013
2.8166 8.7077 3.8152 8.9701
2.8334 8.7755 3.8320 9.0378
2.8500 8.8436 3.8486 9.1060
2.8667 8.9150 3.8653 9.1774
2.8834 8.9844 3.8819 9.2468
2.9000 9.0537 3.8986 9.3160
2.9167 9.1235 3.9152 9.3858
2.9333 9.1918 3.9319 9.4542
2.9500 9.2616 3.9486 9.5239
2.9668 9.3321 3.9653 9.5945
2.9834 9.4010 3.9820 9.6634
3.0001 9.4721 3.9986 9.7345
3.0167 9.5405 4.0152 9.8028
3.0333 9.6110 4.0319 9.8734
3.0500 9.6824 4.0486 9.9448
3.0667 9.7530 4.0652 10.0154
3.0833 9.8244 4.0819 10.0867
3.1000 9.8937 4.0986 10.1560
3.1167 9.9644 4.1153 10.2267
3.1334 10.0345 4.1320 10.2968
3.1500 10.1032 4.1486 10.3656
3.1667 10.1717 4.1652 10.4340
3.1833 10.2406 4.1819 10.5030
3.2000 10.3107 4.1986 10.5731
3.2167 10.3824 4.2152 10.6447
3.2334 10.4535 4.2319 10.7159
3.2500 10.5241 4.2486 10.7864
3.2667 10.5946 4.2652 10.8570
3.2834 10.6644 4.2820 10.9267
3.3000 10.7338 4.2986 10.9961
3.3167 10.8052 4.3152 11.0676
3.3333 10.8744 4.3319 11.1368
3.3500 10.9444 4.3486 11.2068
3.3667 11.0158 4.3652 11.2782
3.3834 11.0866 4.3820 11.3490
3.4000 11.1587 4.3986 11.4210
3.4168 11.2302 4.4153 11.4926
3.4334 11.3013 4.4319 11.5636
3.4500 11.3729 4.4486 11.6353
3.4667 11.4433 4.4652 11.7057
3.4833 11.5129 4.4819 11.7753
3.5000 11.5837 4.4986 11.8460
3.5167 11.6544 4.5153 11.9168
3.5334 11.7274 4.5319 11.9897
3.5501 11.8019 4.5486 12.0643
3.5667 11.8740 4.5652 12.1364
3.5833 11.9482 4.5819 12.2106
3.6000 12.0210 4.5986 12.2833
3.6166 12.0932 4.6152 12.3556
3.6334 12.1657 4.6319 12.4281
3.6501 12.2365 4.6486 12.4989
3.6667 12.3087 4.6652 12.5710
3.6834 12.3813 4.6819 12.6437
3.7000 12.4535 4.6986 12.7159
3.7166 12.5272 4.7152 12.7895
3.7333 12.6002 4.7319 12.8626
3.7500 12.6737 4.7486 12.9361
3.7667 12.7470 4.7652 13.0094
3.7834 12.8212 4.7820 13.0835
3.8000 12.8931 4.7986 13.1555
3.8168 12.9683 4.8153 13.2307
3.8334 13.0425 4.8320 13.3049
3.8500 13.1189 4.8486 13.3813
3.8666 13.1954 4.8652 13.4577
3.8834 13.2751 4.8819 13.5375
3.9000 13.3554 4.8986 13.6178
3.9168 13.4398 4.9153 13.7021
3.9333 13.5243 4.9319 13.7866
3.9501 13.6118 4.9486 13.8741
3.9667 13.6949 4.9653 13.9573
3.9834 13.7800 4.9819 14.0423
4.0000 13.8667 4.9986 14.1290
4.0167 13.9545 5.0153 14.2169
4.0333 14.0413 5.0319 14.3037
4.0500 14.1290 5.0486 14.3914
4.0666 14.2149 5.0652 14.4773
4.0834 14.3039 5.0819 14.5663
4.1000 14.3917 5.0986 14.6540
4.1167 14.4800 5.1153 14.7424
4.1334 14.5688 5.1319 14.8312
4.1500 14.6585 5.1486 14.9209
4.1666 14.7480 5.1652 15.0104
4.1834 14.8406 5.1820 15.1029
4.2000 14.9313 5.1986 15.1937
4.2167 15.0260 5.2153 15.2883
4.2334 15.1205 5.2319 15.3828
4.2500 15.2145 5.2486 15.4769
4.2666 15.3121 5.2652 15.5744
4.2834 15.4096 5.2819 15.6720
4.3000 15.5057 5.2985 15.7680
4.3167 15.6059 5.3153 15.8683
4.3334 15.7043 5.3319 15.9667
4.3500 15.8063 5.3486 16.0687
4.3667 15.9093 5.3652 16.1716
4.3834 16.0128 5.3819 16.2751
4.4000 16.1186 5.3986 16.3810
4.4167 16.2241 5.4153 16.4865
4.4333 16.3302 5.4319 16.5926
4.4500 16.4388 5.4486 16.7012
4.4667 16.5435 5.4653 16.8059
4.4834 16.6515 5.4820 16.9139
4.5000 16.7594 5.4986 17.0218
4.5167 16.8659 5.5153 17.1283
4.5334 16.9755 5.5319 17.2379
4.5500 17.0843 5.5486 17.3467
4.5666 17.1938 5.5652 17.4562
4.5834 17.3072 5.5819 17.5695
4.6001 17.4176 5.5986 17.6800
4.6167 17.5286 5.6153 17.7910
4.6334 17.6402 5.6319 17.9025
4.6501 17.7503 5.6486 18.0127
4.6667 17.8619 5.6652 18.1242
4.6834 17.9777 5.6819 18.2401
4.7000 18.0925 5.6986 18.3549
4.7167 18.2114 5.7153 18.4737
4.7334 18.3284 5.7320 18.5907
4.7500 18.4445 5.7486 18.7068
4.7667 18.5618 5.7652 18.8242
4.7834 18.6794 5.7820 18.9417
4.8000 18.8015 5.7986 19.0639
