"Test Type","Compression"
"Temperature:","20.5"
"Humidity:","57.5"
"Geometry:","Rectangular"
"Specimen",1
"Specimen name:","F1"
"Width:",330.000000,"mm"
"Thickness:",897.000000,"mm"
"Anvil height:",90.000000,"mm"
"Diameter:",50.000000,"mm"
"Inner diameter:",0.500000,"mm"
"Outer diameter:",1.000000,"mm"
"Wall thickness:",0.500000,"mm"
"Area:",296010.000000,"mm*mm"
"Linear density:",1.000000,"den"
"Sled weight:",9.806650,"N"
"Loading span:",0.000000,"mm"
"Support span:",1.000000,"mm"
"Span ratio:","2"
"Fixture type:","3-point"
"Extensometer",-10.000000,"**mm"
"Included"
"Time sec","Extension mm","Strain 1 %","Load N","Comp. stress MPa","Cycle Count ","Total Cycle Count ","Comp. extension mm","Comp. strain %","True strain %","Comp. load N","True stress Pa"
35.77,-0.5960799,-0.02605516,-4270.321,0.01442627,0,0,0.002605516,0.02605516,0.02605856,4270.321,14422.51
36.356,-0.6058799,-0.02611898,-4520.728,0.01527221,0,0,0.002611898,0.02611898,0.02612239,4520.728,15268.23
36.942,-0.6156399,-0.02605516,-4771.267,0.0161186,0,0,0.002605516,0.02605516,0.02605856,4771.267,16114.4
37.53,-0.6254399,-0.0258797,-5021.315,0.01696333,0,0,0.00258797,0.0258797,0.02588305,5021.315,16958.94
38.134,-0.6355599,-0.02594352,-5271.456,0.01780837,0,0,0.002594352,0.02594352,0.02594688,5271.456,17803.75
38.732,-0.6455199,-0.02576806,-5521.794,0.01865408,0,0,0.002576806,0.02576806,0.02577138,5521.794,18649.27
39.366,-0.6560799,-0.02618279,-5772.058,0.01949954,0,0,0.002618279,0.02618279,0.02618622,5772.058,19494.43
40.004,-0.6667199,-0.02599139,-6022.872,0.02034685,0,0,0.002599139,0.02599139,0.02599477,6022.872,20341.56
40.634,-0.6772399,-0.02613492,-6273.295,0.02119285,0,0,0.002613492,0.02613492,0.02613834,6273.295,21187.31
41.272,-0.6877998,-0.02613492,-6523.768,0.02203901,0,0,0.002613492,0.02613492,0.02613834,6523.768,22033.25
41.912,-0.6984799,-0.02597541,-6774.408,0.02288574,0,0,0.002597541,0.02597541,0.02597878,6774.408,22879.79
42.6,-0.7099599,-0.02621468,-7024.571,0.02373086,0,0,0.002621468,0.02621468,0.02621812,7024.57,23724.63
43.234,-0.7205199,-0.02579994,-7274.956,0.02457673,0,0,0.002579994,0.02579994,0.02580327,7274.956,24570.38
43.922,-0.7319599,-0.02592757,-7525.229,0.02542221,0,0,0.002592757,0.02592757,0.02593094,7525.229,25415.62
44.638,-0.7439199,-0.0258797,-7775.456,0.02626755,0,0,0.00258797,0.0258797,0.02588305,7775.457,26260.75
45.596,-0.7598798,-0.02595946,-8025.944,0.02711376,0,0,0.002595946,0.02595946,0.02596283,8025.944,27106.72
46.426,-0.7737998,-0.02594352,-8276.115,0.0279589,0,0,0.002594352,0.02594352,0.02594688,8276.114,27951.65
47.426,-0.7904399,-0.02594352,-8459.575,0.02857868,0,0,0.002594352,0.02594352,0.02594688,8459.575,28571.27
48.426,-0.8071199,-0.02552878,-8554.189,0.02889831,0,0,0.002552878,0.02552878,0.02553204,8554.188,28890.93
49.426,-0.8237199,-0.0258797,-8677.062,0.02931341,0,0,0.00258797,0.0258797,0.02588305,8677.063,29305.82
50.426,-0.8403999,-0.02592757,-8588.451,0.02901406,0,0,0.002592757,0.02592757,0.02593094,8588.451,29006.53
51.426,-0.8570398,-0.02640609,-8660.566,0.02925768,0,0,0.002640609,0.02640609,0.02640957,8660.566,29249.95
52.368,-0.8727598,-0.02595946,-8910.801,0.03010304,0,0,0.002595946,0.02595946,0.02596283,8910.801,30095.22
53.104,-0.8849999,-0.02599139,-9161.421,0.0309497,0,0,0.002599139,0.02599139,0.02599477,9161.421,30941.66
53.838,-0.8972798,-0.02581593,-9411.436,0.03179432,0,0,0.002581593,0.02581593,0.02581926,9411.436,31786.11
54.508,-0.9084799,-0.0262785,-9661.445,0.03263891,0,0,0.00262785,0.0262785,0.02628195,9661.445,32630.34
55.126,-0.9187599,-0.02594352,-9911.766,0.03348456,0,0,0.002594352,0.02594352,0.02594688,9911.766,33475.88
55.718,-0.9286399,-0.02573617,-10161.99,0.03432988,0,0,0.002573617,0.02573617,0.02573948,10161.99,34321.04
56.348,-0.9391599,-0.025784,-10412.16,0.03517504,0,0,0.0025784,0.025784,0.02578733,10412.16,35165.97
56.976,-0.9495999,-0.02586376,-10662.62,0.03602114,0,0,0.002586376,0.02586376,0.0258671,10662.62,36011.82
57.582,-0.9596399,-0.02562448,-10912.7,0.03686598,0,0,0.002562448,0.02562448,0.02562777,10912.7,36856.54
58.168,-0.9693999,-0.02599139,-11163.09,0.03771186,0,0,0.002599139,0.02599139,0.02599477,11163.09,37702.06
58.752,-0.9791599,-0.02573617,-11413.74,0.03855863,0,0,0.002573617,0.02573617,0.02573948,11413.74,38548.71
59.32,-0.9885999,-0.02570424,-11664.29,0.03940504,0,0,0.002570424,0.02570424,0.02570755,11664.29,39394.91
59.894,-0.9981599,-0.02543308,-11914.44,0.04025013,0,0,0.002543308,0.02543308,0.02543631,11914.44,40239.89
60.462,-1.00764,-0.02594352,-12164.79,0.04109586,0,0,0.002594352,0.02594352,0.02594688,12164.79,41085.2
61.024,-1.017,-0.02586376,-12414.88,0.04194076,0,0,0.002586376,0.02586376,0.0258671,12414.88,41929.91
61.598,-1.0266,-0.02551284,-12665.66,0.04278795,0,0,0.002551284,0.02551284,0.02551609,12665.66,42777.03
62.156,-1.03592,-0.02600733,-12916.03,0.04363375,0,0,0.002600733,0.02600733,0.02601071,12916.03,43622.4
62.704,-1.04504,-0.02599139,-13166.58,0.04448018,0,0,0.002599139,0.02599139,0.02599477,13166.58,44468.62
63.234,-1.05388,-0.02579994,-13416.77,0.0453254,0,0,0.002579994,0.02579994,0.02580327,13416.77,45313.71
63.764,-1.06272,-0.02583187,-13667.15,0.04617126,0,0,0.002583187,0.02583187,0.02583521,13667.15,46159.33
64.316,-1.07196,-0.02610303,-13917.74,0.04701782,0,0,0.002610303,0.02610303,0.02610644,13917.74,47005.54
64.88,-1.08136,-0.02626255,-14167.95,0.04786306,0,0,0.002626255,0.02626255,0.026266,14167.95,47850.49
65.63,-1.0938,-0.02586376,-14418.4,0.04870915,0,0,0.002586376,0.02586376,0.0258671,14418.4,48696.55
66.314,-1.1052,-0.02572019,-14668.48,0.04955399,0,0,0.002572019,0.02572019,0.02572349,14668.48,49541.25
66.892,-1.11484,-0.025784,-14918.8,0.05039965,0,0,0.0025784,0.025784,0.02578733,14918.8,50386.66
67.464,-1.12436,-0.02610303,-15168.91,0.05124459,0,0,0.002610303,0.02610303,0.02610644,15168.91,51231.21
67.998,-1.1332,-0.02600733,-15419.67,0.05209173,0,0,0.002600733,0.02600733,0.02601071,15419.67,52078.19
68.522,-1.142,-0.02575211,-15670.3,0.0529384,0,0,0.002575211,0.02575211,0.02575543,15670.29,52924.76
69.036,-1.15052,-0.02597541,-15920.35,0.05378313,0,0,0.002597541,0.02597541,0.02597878,15920.35,53769.16
69.6,-1.15996,-0.02579994,-16170.5,0.05462822,0,0,0.002579994,0.02579994,0.02580327,16170.5,54614.12
70.156,-1.16924,-0.02600733,-16420.57,0.05547303,0,0,0.002600733,0.02600733,0.02601071,16420.57,55458.61
70.692,-1.17816,-0.02567235,-16670.76,0.05631823,0,0,0.002567235,0.02567235,0.02567565,16670.76,56303.77
71.224,-1.18704,-0.025784,-16921.16,0.05716416,0,0,0.0025784,0.025784,0.02578733,16921.16,57149.42
71.764,-1.196,-0.02565641,-17171.67,0.05801045,0,0,0.002565641,0.02565641,0.0256597,17171.67,57995.57
72.322,-1.20532,-0.02575211,-17421.94,0.05885591,0,0,0.002575211,0.02575211,0.02575543,17421.94,58840.75
72.882,-1.21468,-0.0261509,-17672.58,0.05970263,0,0,0.002615091,0.0261509,0.02615433,17672.58,59687.02
73.456,-1.2242,-0.0261509,-17923.47,0.06055023,0,0,0.002615091,0.0261509,0.02615433,17923.47,60534.39
74.016,-1.23356,-0.02632637,-18174.23,0.06139737,0,0,0.002632637,0.02632637,0.02632983,18174.23,61381.2
74.58,-1.243,-0.02600733,-18424.63,0.06224328,0,0,0.002600733,0.02600733,0.02601071,18424.63,62227.09
75.124,-1.25208,-0.0258797,-18675.38,0.06309037,0,0,0.00258797,0.0258797,0.02588305,18675.38,63074.04
75.672,-1.26116,-0.02603922,-18926.12,0.06393744,0,0,0.002603922,0.02603922,0.02604261,18926.12,63920.8
76.174,-1.26952,-0.02576806,-19176.52,0.06478334,0,0,0.002576806,0.02576806,0.02577138,19176.52,64766.65
76.668,-1.27776,-0.02557665,-19426.96,0.06562939,0,0,0.002557665,0.02557665,0.02557992,19426.96,65612.6
77.152,-1.2858,-0.02575211,-19677.08,0.06647437,0,0,0.002575211,0.02575211,0.02575543,19677.08,66457.25
77.646,-1.29404,-0.02610303,-19927.46,0.06732024,0,0,0.002610303,0.02610303,0.02610644,19927.46,67302.66
78.136,-1.3022,-0.02607115,-20178.01,0.06816664,0,0,0.002607115,0.02607115,0.02607454,20178.01,68148.87
78.65,-1.31076,-0.02597541,-20428.89,0.06901421,0,0,0.002597541,0.02597541,0.02597878,20428.89,68996.28
79.16,-1.31928,-0.02586376,-20679.05,0.0698593,0,0,0.002586376,0.02586376,0.0258671,20679.05,69841.23
79.646,-1.32736,-0.02619874,-20929.82,0.07070646,0,0,0.002619874,0.02619874,0.02620217,20929.82,70687.94
80.116,-1.3352,-0.02611898,-21180.16,0.07155217,0,0,0.002611898,0.02611898,0.02612239,21180.16,71533.48
80.588,-1.34312,-0.02610303,-21430.23,0.07239698,0,0,0.002610303,0.02610303,0.02610644,21430.23,72378.08
81.048,-1.3508,-0.02643801,-21680.96,0.07324402,0,0,0.002643801,0.02643801,0.02644151,21680.96,73224.65
81.52,-1.3586,-0.02592757,-21931.9,0.07409175,0,0,0.002592757,0.02592757,0.02593094,21931.9,74072.54
81.982,-1.36628,-0.02600733,-22182.97,0.07493994,0,0,0.002600733,0.02600733,0.02601071,22182.97,74920.45
82.426,-1.37372,-0.02605516,-22433.76,0.07578718,0,0,0.002605516,0.02605516,0.02605856,22433.76,75767.43
82.886,-1.3814,-0.02603922,-22684.36,0.07663376,0,0,0.002603922,0.02603922,0.02604261,22684.36,76613.8
83.322,-1.38864,-0.02635825,-22934.66,0.07747936,0,0,0.002635826,0.02635825,0.02636173,22934.66,77458.94
83.758,-1.39588,-0.02603922,-23185.63,0.07832719,0,0,0.002603922,0.02603922,0.02604261,23185.63,78306.79
84.176,-1.40284,-0.02603922,-23435.89,0.07917265,0,0,0.002603922,0.02603922,0.02604261,23435.89,79152.03
84.594,-1.40984,-0.02603922,-23686.14,0.08001805,0,0,0.002603922,0.02603922,0.02604261,23686.14,79997.21
85.02,-1.41692,-0.02564047,-23937.01,0.08086555,0,0,0.002564047,0.02564047,0.02564375,23937.01,80844.82
85.452,-1.42412,-0.02618279,-24187.39,0.08171138,0,0,0.002618279,0.02618279,0.02618622,24187.39,81689.99
85.896,-1.43152,-0.0258797,-24438.53,0.08255983,0,0,0.00258797,0.0258797,0.02588305,24438.54,82538.46
86.33,-1.43884,-0.0258797,-24689.42,0.08340737,0,0,0.00258797,0.0258797,0.02588305,24689.42,83385.79
86.758,-1.44596,-0.02600733,-24940.07,0.08425415,0,0,0.002600733,0.02600733,0.02601071,24940.07,84232.23
87.18,-1.453,-0.02572019,-25190.96,0.08510172,0,0,0.002572019,0.02572019,0.02572349,25190.96,85079.84
87.59,-1.45984,-0.02591163,-25441.2,0.0859471,0,0,0.002591163,0.02591163,0.02591499,25441.2,85924.82
88.004,-1.46668,-0.02591163,-25691.89,0.086794,0,0,0.002591163,0.02591163,0.02591499,25691.89,86771.52
88.42,-1.47368,-0.02573617,-25942.8,0.08764164,0,0,0.002573617,0.02573617,0.02573948,25942.8,87619.09
88.868,-1.48116,-0.02599139,-26193.87,0.0884898,0,0,0.002599139,0.02599139,0.02599477,26193.87,88466.8
89.322,-1.48868,-0.02616685,-26444.84,0.08933766,0,0,0.002616685,0.02616685,0.02617027,26444.84,89314.28
89.762,-1.49596,-0.02594352,-26695.68,0.09018508,0,0,0.002594352,0.02594352,0.02594688,26695.68,90161.68
90.202,-1.50328,-0.0258797,-26945.91,0.0910304,0,0,0.00258797,0.0258797,0.02588305,26945.91,91006.85
90.626,-1.51036,-0.02564047,-27196.27,0.09187619,0,0,0.002564047,0.02564047,0.02564375,27196.27,91852.63
