   
   
   
"Disp (mm)" "Load (kN)" " d (raw)" "f (raw)"
1.8693 3.0260 1.8693 3.3373
1.8527 2.9689 1.8527 3.2802
1.8360 2.9135 1.8360 3.2248
1.8194 2.8609 1.8194 3.1722
1.8026 2.8081 1.8026 3.1194
1.7860 2.7573 1.7860 3.0686
1.7693 2.7033 1.7693 3.0146
1.7527 2.6523 1.7527 2.9636
1.7360 2.6025 1.7360 2.9138
1.7194 2.5527 1.7194 2.8640
1.7026 2.5046 1.7026 2.8159
1.6860 2.4572 1.6860 2.7685
1.6693 2.4091 1.6693 2.7205
1.6527 2.3621 1.6527 2.6734
1.6360 2.3141 1.6360 2.6254
1.6194 2.2667 1.6194 2.5780
1.6027 2.2199 1.6027 2.5312
1.5860 2.1738 1.5860 2.4851
1.5693 2.1290 1.5693 2.4403
1.5527 2.0836 1.5527 2.3949
1.5360 2.0388 1.5360 2.3501
1.5193 1.9948 1.5193 2.3061
1.5027 1.9514 1.5027 2.2627
1.4860 1.9085 1.4860 2.2198
1.4693 1.8655 1.4693 2.1768
1.4527 1.8229 1.4527 2.1343
1.4360 1.7799 1.4360 2.0912
1.4194 1.7382 1.4194 2.0495
1.4027 1.6962 1.4027 2.0075
1.3860 1.6555 1.3860 1.9668
1.3693 1.6156 1.3693 1.9269
1.3526 1.5750 1.3526 1.8863
1.3360 1.5357 1.3360 1.8471
1.3194 1.4968 1.3194 1.8081
1.3027 1.4582 1.3027 1.7696
1.2860 1.4199 1.2860 1.7312
1.2693 1.3802 1.2693 1.6916
1.2526 1.3422 1.2526 1.6535
1.2360 1.3045 1.2360 1.6158
1.2193 1.2673 1.2193 1.5786
1.2026 1.2308 1.2026 1.5421
1.1860 1.1936 1.1860 1.5049
1.1693 1.1579 1.1693 1.4692
1.1526 1.1223 1.1526 1.4336
1.1360 1.0863 1.1360 1.3976
1.1193 1.0521 1.1193 1.3634
1.1026 1.0192 1.1026 1.3306
1.0860 0.9863 1.0860 1.2976
1.0693 0.9538 1.0693 1.2652
1.0527 0.9221 1.0527 1.2334
1.0360 0.8914 1.0360 1.2027
1.0193 0.8601 1.0193 1.1714
1.0027 0.8295 1.0027 1.1408
0.9860 0.7978 0.9860 1.1091
0.9693 0.7668 0.9693 1.0781
0.9526 0.7357 0.9526 1.0470
0.9360 0.7053 0.9360 1.0166
0.9194 0.6750 0.9194 0.9864
0.9027 0.6443 0.9027 0.9556
0.8860 0.6154 0.8860 0.9267
0.8693 0.5855 0.8693 0.8968
0.8526 0.5570 0.8526 0.8683
0.8360 0.5287 0.8360 0.8400
0.8193 0.5004 0.8193 0.8117
0.8027 0.4719 0.8027 0.7832
0.7860 0.4441 0.7860 0.7554
0.7694 0.4164 0.7694 0.7277
0.7526 0.3924 0.7526 0.7037
0.7360 0.3675 0.7360 0.6789
0.7193 0.3439 0.7193 0.6552
0.7027 0.3215 0.7027 0.6328
0.6860 0.3008 0.6860 0.6121
0.6693 0.2813 0.6693 0.5927
0.6527 0.2630 0.6527 0.5743
0.6360 0.2444 0.6360 0.5557
0.6193 0.2260 0.6193 0.5373
0.6027 0.2088 0.6027 0.5201
0.5860 0.1909 0.5860 0.5022
0.5693 0.1730 0.5693 0.4843
0.5526 0.1554 0.5526 0.4667
0.5360 0.1383 0.5360 0.4496
0.5194 0.1209 0.5194 0.4322
0.5027 0.1044 0.5027 0.4157
0.4860 0.0870 0.4860 0.3984
0.4693 0.0698 0.4693 0.3811
0.4526 0.0536 0.4526 0.3649
0.4360 0.0375 0.4360 0.3488
0.4193 0.0217 0.4193 0.3330
0.4027 0.0068 0.4027 0.3181
0.3860 0.0002 0.3860 0.3115
0.3693 -0.0005 0.3693 0.3108
0.3526 -0.0002 0.3526 0.3111
0.3360 0.0002 0.3360 0.3115
0.3193 0.0005 0.3193 0.3118
0.3026 0.0003 0.3026 0.3116
0.2860 -0.0001 0.2860 0.3112
0.2694 0.0001 0.2694 0.3114
0.2526 0.0000 0.2526 0.3114
0.2360 0.0000 0.2360 0.3113
0.2193 -0.0004 0.2193 0.3109
0.2027 -0.0004 0.2027 0.3110
0.1860 -0.0008 0.1860 0.3106
0.1693 -0.0011 0.1693 0.3102
0.1526 -0.0015 0.1526 0.3098
0.1360 -0.0006 0.1360 0.3107
0.1193 -0.0011 0.1193 0.3102
0.1027 -0.0012 0.1027 0.3101
0.0860 -0.0013 0.0860 0.3100
0.0694 -0.0059 0.0694 0.3054
0.0526 -0.0191 0.0526 0.2923
0.0360 -0.0364 0.0360 0.2749
0.0193 -0.0521 0.0193 0.2592
0.0027 -0.0679 0.0027 0.2434
-0.0140 -0.0825 -0.0140 0.2288
-0.0306 -0.0974 -0.0306 0.2139
-0.0473 -0.1134 -0.0473 0.1979
-0.0640 -0.1275 -0.0640 0.1839
-0.0807 -0.1425 -0.0807 0.1688
-0.0973 -0.1568 -0.0973 0.1545
-0.1140 -0.1700 -0.1140 0.1413
-0.1306 -0.1835 -0.1306 0.1279
-0.1474 -0.1975 -0.1474 0.1138
-0.1640 -0.2106 -0.1640 0.1007
-0.1651 -0.2113 -0.1651 0.1000
-0.1652 -0.2113 -0.1652 0.1000
